id,text,Open AI Classfier,GPT Zero (perplexity),GPT Zero (burstiness),DetectGPT (z score),GPT Zero ,DetectGPT,
67776678,"plant in the Asteraceae family. It is endemic to the United States, where it is known from only a small area in the Appalachian Mountains.

Helichrysum calvertianum is a perennial herb with a stem up to 60 centimeters long. The leaves are linear to lance-shaped, green to blue-green, and almost hairless. The inflorescence is a large array of many white or pinkish flowers heads, each up to 10 centimeters wide. The fruit is a capsule about 1 centimeter long.",AI,26.182,14.614,0.782,AI,AI,
927336,"that is located in the northern hemisphere. It lies near the northwestern rim of the huge walled plain informally named Piccolomini, and its eastern rim forms the eastern end of the Valles Marineris. The crater is named after Piero de' Piccolomini, a 15th century Italian humanist and politician.

By convention these features are identified on lunar maps by placing the letter on the side of the crater midpoint that is closest to Piccolomini.",AI,45.8,44.409,1.378,AI,AI,
31324672,"23 February 1971) was an Indian poet, literary critic and essayist. He was awarded the Padma Shri, the fourth highest civilian honour in India, in 1964. 

Walawalkar was born on 27 December 1897 in Ratnagiri, Maharashtra to a Marathi-speaking family. He had his early education at a Jesuit school in Ratnagiri. He then studied at the University of Bombay, where he obtained an M.A. in 1914 and a B.A. in 1916. After graduating from the university, Walawalkar worked as an assistant professor at the Marathi language department of Bombay University from 1916 to 1923.

Walawalkar travelled extensively during this period, visiting Europe and North America. His first book of poems, ""Taranga"", was published in 1927 and was well received by critics. In 1938, he married Hema Malini, with whom he had two children.

During World War II, Walawalkar served as a civil servant in the government of Maharashtra. He later resumed his academic career at the Faculty of Arts of the University of Bombay and served as its Vice-Chancellor from 1965 to 1969. He died",AI,69.538,99.29,1.533,AI,AI,
4206361,"the United States. Formed in 2006, the group consists of vocalist and guitarist Adam Dutkiewicz, drummer Chris Kontos, and bassist Mike Miller.

The Uninvited released their debut album, ""Walking Among Us"", in 2009. The album reached number 31 on the Billboard Alternative Albums chart. The group toured in support of the record throughout 2009 and 2010, including a performance at the 2010 Reading and Leeds Festivals. In February 2011, the Uninvited released their second album, ""Leave Me Alone"". The album reached number 16 on the Billboard Heatseekers chart.",AI,26.333,17.427,1.396,AI,AI,
3882596,"designer. Born in Osaka, Japan in 1969, she debuted as a manga artist in 1992 with the manga ""Kimi no Na Wa"". Her other works include ""Hanasaku Iroha"", ""Kimi no Na Wa 2"", and ""My Love Story!!"".

Anno has been involved in fashion design since she was a teenager. After graduating from art school, she joined the advertising agency Dentsu in 1994. She left Dentsu in 2000 to pursue a career in fashion design full-time. She has designed for such brands as Comme des GarÃ§ons, Yohji Yamamoto, and Issey Miyake. In 2006, Anno became the first Japanese fashion designer to win the prestigious CFDA/Vogue Fashion Fund Award.

Anno has received numerous accolades for her work as a manga artist and fashion designer, including an International Manga Award for Best Female Character Design and an Annie Award for Best Individual Achievement in Animation. In 2013, she was awarded an honorary doctorate from Kyoto University.",AI,281.083,852.687,1.506,AI,AI,
51334246,"10, 1984) was an Italian composer, pianist and conductor.

Born in Bergamo, Diamandi studied at the Milan Conservatory with Gino Bartolomei and Enrico Mainardi. He composed for stage, film and television, as well as chamber music. His best-known work is the opera ""L'amore dei tre re"", which was first performed in Milan in 1951.",AI,1399.091,4572.934,1.171,AI,AI,
39233405,"a Hungarian-born, Canadian-based composer, conductor and pianist.

Attila MÃ¡rton was born in Budapest, Hungary. He began his musical training at the age of six, studying piano with LÃ¡szlÃ³ Somogyi and later conducting with JÃ¡nos Ferencsik. He continued his studies at the Franz Liszt Academy of Music in Budapest, where he graduated with distinction in 1986.

MÃ¡rton made his international debut as a conductor in 1989 with the Hungarian National Philharmonic Orchestra. He has since collaborated with many leading orchestras around the world, including the London Symphony Orchestra, the Vienna Philharmonic Orchestra, the Berlin Symphony Orchestra, and the Toronto Symphony Orchestra. He has also been appointed Guest Conductor of the Royal Philharmonic Orchestra (London), the NHK Symphony (Tokyo), and the Symphonieorchester des Bayerischen Rundfunks (Munich).

As a pianist, MÃ¡rton has performed throughout Europe and North America, including appearances at prestigious festivals such as the Tanglewood Festival, Ravinia Festival, and the New York International Piano Competition. He has also appeared",AI,44.154,39.232,1.51,AI,AI,
4732889,"the BBC soap opera, EastEnders, played by Anita Dobson. She made her first appearance on 13 July 1985. Hilary is the wife of Les (John Altman), mother of Alfie (Shane Richie) and Dot (June Brown), and sister of Peggy (Barbara Windsor).

Hilary Robinson is a hard-working, honest and respectable woman who is the matriarch of the Robinson family. She is a pillar of the community and is always there to help her neighbours when they need it. Hilary is fiercely protective of her family and will do anything to make sure they are safe and happy.

Hilary has been married to Les for over 30 years and they have together raised three children - Alfie, Dot and son-in-law Phil (Steve McFadden). Since Les's death in 2003, Hilary has been very busy running the family business, The Queen Vic. Despite this, she still finds time to look after her grandchildren and take part in numerous community events.

Hilary is a popular character with fans and has been involved in many memorable storylines over the years. Her most famous moment came in 1994 when she played a crucial",AI,55.786,64.961,1.091,AI,AI,
1233933,"18, 2018) was an American public speaker, writer, and actor. He was the founder and CEO of the Adam Parfrey Network (APN), an international multimedia company.

Born in New York City, Parfrey attended Collegiate School in Manhattan. After graduating from Yale University in 1979, he moved to Los Angeles, where he started his own advertising agency. In 1984, he created The Tonight Show with Jay Leno, which became the highest-rated late-night talk show in the United States.

In 1991, Parfrey created The E! True Hollywood Story, a biographical docu-series that aired on the cable network E! for nine seasons. He also wrote and produced the series.

From 1997 to 2007, Parfrey served as the president of The Church of Scientology International.

Parrery died of a heart attack at his home in Los Angeles at the age of 63.",AI,65.462,137.87,1.365,AI,AI,
163852,"translation is a translation in which the source text is translated literally, with only minor changes to word choice or grammar.

A calque may be a literal translation, or it may be an adaptation of the source text to make it more suitable for the target language. The translation may be faithful or free, depending on the degree to which the original text is used.

The use of calque can be traced back to the days of Classical Latin, when translations were often made from Greek and other ancient languages into Latin. In later centuries, calques were used in law, medicine, and other academic fields, as well as in popular culture.",AI,46.833,54.676,1.094,AI,AI,
